FROM_ZIP_CODE	TO_ZIP_CODE	TRANSIT_TIME
91350	92340	3
77670	92340	3
78290	92340	3
27640	92340	3
93330	92340	3
77470	92340	3
94340	92340	3
93320	92340	3
92430	92340	3
77122	92340	3
91680	92340	3
77380	92340	3
95540	92340	3
94440	92340	3
28310	92340	3
92120	92340	3
78470	92340	3
77148	92340	3
95510	92340	3
92600	92340	3
60500	92340	3
92700	92340	3
95440	92340	3
28150	92340	3
91480	92340	3
94230	92340	3
77450	92340	3
78350	92340	3
27430	92340	3
78121	92340	3
28410	92340	3
78700	92340	3
95520	92340	3
95160	92340	3
95390	92340	3
91150	92340	3
27650	92340	3
60580	92340	3
28190	92340	3
77680	92340	3
77111	92340	3
95760	92340	3
93110	92340	3
77870	92340	3
77260	92340	3
95800	92340	3
91250	92340	3
78690	92340	3
45380	92340	3
27950	92340	3
92240	92340	3
93440	92340	3
95350	92340	3
27320	92340	3
27100	92340	3
27920	92340	3
78250	92340	3
75020	92340	3
93300	92340	3
95380	92340	3
75002	92340	3
78640	92340	3
94410	92340	3
60530	92340	3
78750	92340	3
94420	92340	3
77310	92340	3
75001	92340	3
60100	92340	3
77124	92340	3
95340	92340	3
77920	92340	3
77270	92340	3
95220	92340	3
93260	92340	3
78960	92340	3
91090	92340	3
75016	92340	3
92250	92340	3
94200	92340	3
91370	92340	3
93420	92340	3
27750	92340	3
45480	92340	3
27870	92340	3
95200	92340	3
77820	92340	3
77360	92340	3
60330	92340	3
91580	92340	3
78840	92340	3
95830	92340	3
78860	92340	3
91460	92340	3
27940	92340	3
78126	92340	3
78870	92340	3
91340	92340	3
78300	92340	3
91310	92340	3
77140	92340	3
91300	92340	3
77165	92340	3
92330	92340	3
77173	92340	3
94600	92340	3
75007	92340	3
28350	92340	3
78113	92340	3
78730	92340	3
60160	92340	3
95140	92340	3
60230	92340	3
60540	92340	3
77166	92340	3
77167	92340	3
78660	92340	3
95630	92340	3
78890	92340	3
94320	92340	3
91850	92340	3
95270	92340	3
45330	92340	3
91890	92340	3
78117	92340	3
77515	92340	3
28130	92340	3
91600	92340	3
45140	92340	3
94490	92340	3
77780	92340	3
94380	92340	3
94300	92340	3
78770	92340	3
60520	92340	3
27930	92340	3
28600	92340	3
60175	92340	3
93410	92340	3
78810	92340	3
77420	92340	3
93460	92340	3
78720	92340	3
94130	92340	3
78310	92340	3
92100	92340	3
91670	92340	3
28100	92340	3
60119	92340	3
77640	92340	3
78970	92340	3
92230	92340	3
77720	92340	3
77181	92340	3
78160	92340	3
78710	92340	3
91530	92340	3
91230	92340	3
78760	92340	3
95640	92340	3
60790	92340	3
91410	92340	3
28360	92340	3
78590	92340	3
92270	92340	3
77460	92340	3
94470	92340	3
78380	92340	3
91940	92340	3
45390	92340	3
95150	92340	3
78940	92340	3
95840	92340	3
92370	92340	3
78520	92340	3
91470	92340	3
93390	92340	3
95410	92340	3
91620	92340	3
77890	92340	3
91540	92340	3
91430	92340	3
60460	92340	3
45800	92340	3
92500	92340	3
95470	92340	3
95820	92340	3
78410	92340	3
78124	92340	3
93250	92340	3
91390	92340	3
91100	92340	3
60440	92340	3
60820	92340	3
77190	92340	3
27400	92340	3
93240	92340	3
94360	92340	3
91710	92340	3
77176	92340	3
91820	92340	3
95360	92340	3
95780	92340	3
75015	92340	3
60173	92340	3
45770	92340	3
94500	92340	3
28630	92340	3
78480	92340	3
95850	92340	3
91190	92340	3
77830	92340	3
77200	92340	3
28160	92340	3
91200	92340	3
78490	92340	3
91320	92340	3
27340	92340	3
78570	92340	3
27200	92340	3
60340	92340	3
27490	92340	3
60740	92340	3
78110	92340	3
95740	92340	3
75009	92340	3
91420	92340	3
77340	92340	3
77600	92340	3
91860	92340	3
95190	92340	3
95560	92340	3
95000	92340	3
77400	92340	3
95870	92340	3
77330	92340	3
77130	92340	3
77170	92340	3
91760	92340	3
60950	92340	3
91930	92340	3
95680	92340	3
78530	92340	3
93400	92340	3
94110	92340	3
94160	92340	3
27540	92340	3
93340	92340	3
27570	92340	3
91510	92340	3
77710	92340	3
78990	92340	3
95110	92340	3
93210	92340	3
78130	92340	3
60240	92340	3
78000	92340	3
95210	92340	3
28320	92340	3
78670	92340	3
78240	92340	3
27630	92340	3
94390	92340	3
75004	92340	3
77135	92340	3
92210	92340	3
45210	92340	3
78400	92340	3
94000	92340	3
91270	92340	3
77131	92340	3
78330	92340	3
91730	92340	3
78920	92340	3
91610	92340	3
77880	92340	3
78930	92340	3
92400	92340	3
91800	92340	3
95290	92340	3
93160	92340	3
78112	92340	3
91240	92340	3
60149	92340	3
27420	92340	3
27000	92340	3
95420	92340	3
77000	92340	3
95450	92340	3
94880	92340	3
60260	92340	3
94170	92340	3
93230	92340	3
78850	92340	3
91380	92340	3
78440	92340	3
94270	92340	3
93450	92340	3
95660	92340	3
75014	92340	3
78320	92340	3
91450	92340	3
78680	92340	3
94350	92340	3
95300	92340	3
77810	92340	3
91630	92340	3
95280	92340	3
78460	92340	3
77186	92340	3
91520	92340	3
78630	92340	3
78100	92340	3
75006	92340	3
78550	92340	3
27780	92340	3
78540	92340	3
77118	92340	3
95530	92340	3
92200	92340	3
92260	92340	3
94400	92340	3
77177	92340	3
94480	92340	3
27530	78450	1
27510	78450	1
93270	78450	1
77123	78450	1
93290	78450	1
77480	78450	1
91690	78450	1
91000	78450	1
75003	78450	1
95490	78450	1
94100	78450	1
78125	78450	1
